#{"t_start": 1727647854.4615552, "env_id": "None"}
r,l,t
0.0,4,6.608898
1.0,11,6.614154
0.0,5,6.616558
-1.0,4,6.618471
2.0,20,6.627922
-1.0,11,6.633259
0.0,8,6.637362
0.0,4,6.639367
-1.0,3,6.640888
0.0,2,6.641934
0.0,6,6.644968
0.0,4,6.646982
-1.0,5,6.649488
-1.0,7,6.652896
0.0,6,6.655811
0.0,21,6.665648
0.0,9,6.670389
0.0,5,6.672905
0.0,6,6.675802
0.0,9,6.680084
1.0,13,6.686179
0.0,8,6.689984
1.0,12,6.695783
0.0,3,6.697287
0.0,8,6.701919
0.0,3,6.703409
-1.0,11,6.708619
0.0,4,6.71068
0.0,5,6.713061
0.0,2,6.714059
-1.0,4,6.715979
-1.0,5,6.71833
0.0,13,6.724437
0.0,4,6.726384
0.0,9,6.730695
0.0,23,6.741571
1.0,10,6.746322
0.0,9,6.750558
-1.0,10,6.755239
-1.0,11,6.760391
1.0,12,6.765995
1.0,19,6.774863
-1.0,7,6.77822
0.0,3,6.779715
0.0,2,6.78072
-1.0,10,6.785443
-1.0,7,6.788782
0.0,13,6.794999
-1.0,7,6.798301
0.0,59,6.825665
0.0,6,6.828494
0.0,3,6.829962
-1.0,6,6.832784
-1.0,8,6.836536
-1.0,15,6.843501
0.0,7,6.846802
0.0,7,6.850086
0.0,25,6.861702
0.0,6,6.864539
0.0,6,6.867398
0.0,13,6.873468
-1.0,8,6.877241
0.0,27,6.889843
0.0,3,6.891297
0.0,11,6.896498
0.0,4,6.898428
0.0,13,6.904542
0.0,5,6.906934
0.0,33,6.92227
1.0,10,6.926973
-1.0,10,6.93161
0.0,10,6.936298
1.0,31,6.95079
0.0,3,6.95226
0.0,6,6.955108
-1.0,14,6.961615
0.0,8,6.965369
0.0,4,6.967273
0.0,6,6.970115
0.0,11,6.975318
-1.0,4,6.977232
0.0,9,6.981564
-1.0,10,6.986321
0.0,10,6.991046
1.0,7,6.994431
-1.0,8,6.998447
0.0,2,6.999449
0.0,6,7.002288
-1.0,4,7.0042
0.0,3,7.005652
0.0,4,7.00756
-1.0,3,7.008994
-1.0,5,7.011398
0.0,9,7.015601
1.0,13,7.02189
0.0,8,7.025615
0.0,9,7.029872
0.0,23,7.040807
0.0,5,7.043193
0.0,12,7.048868
0.0,4,7.050808
-1.0,26,7.062902
0.0,11,7.068097
1.0,14,7.074705
-1.0,18,7.083088
0.0,3,7.084536
0.0,5,7.086928
0.0,3,7.088392
0.0,5,7.09076
0.0,5,7.093216
-1.0,3,7.094659
-1.0,24,7.105806
-1.0,3,7.107268
-1.0,54,7.132294
0.0,8,7.136063
1.0,7,7.139371
0.0,12,7.145061
4.0,49,7.167926
2.0,16,7.175464
-1.0,36,7.192289
1.0,13,7.198616
0.0,16,7.207085
-1.0,8,7.210846
0.0,3,7.212431
0.0,8,7.216233
0.0,2,7.217225
0.0,7,7.220497
0.0,6,7.223324
0.0,4,7.225235
-1.0,14,7.231753
1.0,25,7.243287
